Question,Answer,Option A,Option B,Option C,Option D,Annex
"What is the meaning of ""risky shift""?",The tendency to accept higher risks in groups,Seat adjustment in flight,Spontaneous change of landing direction when the runway has an upslope,Crossing of rudder and ailerons on short final,The tendency to accept higher risks in groups,
Which factor can lead to human error?,The bias to see what we expect to see,To be doubtful if something looks unclear or ambiguous,Proper use of checklists,The bias to see what we expect to see,Double check of relevant actions,
The occurrence of a vertigo is most likely when moving the head...,during a turn.,during a straight horizontal flight.,during a descent.,during a climb.,during a turn.,
Which of the following symptoms may indicate hypoxia?,Blue discolouration of lips and fingernails,Muscle cramps in the upper body area,Joint pain in knees and feet,Blue marks all over the body,Blue discolouration of lips and fingernails,
What is an appropriate reaction when a passenger during cruise flight suddenly feels uncomfortable?,Adjust cabin temperature and prevent excessive bank,Avoid conversation and choose a higher airspeed,Switch on the heater blower and provide thermal blankets,Give additional oxygen and avoid low load factors,Adjust cabin temperature and prevent excessive bank,
"What does the term ""Red-out"" mean?",Red vision during negative g-loads,Anaemia caused by an injury,Red vision during negative g-loads,Falsified colour perception during sunrise and sunset,Rash during decompression sickness,
What is an indication for a macho attitude?,Risky flight maneuvers to impress spectators on ground,Quick resignation in complex and critical situations,Careful walkaround procedure,Comprehensive risk assessment when faced with unfamiliar situations,Risky flight maneuvers to impress spectators on ground,
What is the function of the white blood cells (leucocytes)?,Immune defense,Blood coagulation,Blood sugar regulation,Oxygen transport,Immune defense,
Which answer states a risk factor for diabetes?,Overweight,Smoking,Alcohol consumption,Sleep deficiency,Overweight,
What is the best combination of traits with respect to the individual attitude and behaviour for a pilot?,Extroverted - stable,Extroverted - stable,Introverted - unstable,Introverted - stable,Extroverted - unstable,
Under which circumstances is it more likely to accept higher risks?,Due to group-dynamic effects,During check flights due to a high level of nervousness,If there is not enough information available,During flight planning when excellent weather is forecast,Due to group-dynamic effects,
An acceleration during a straight horizontal flight can lead to the illusion of...,a climb.,a bank.,a climb.,a descent.,an inverted flight.,
